"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2211.0,2209.0
0.0015,700.2,699.0
0.002,302.6,301.6
0.003,90.33,89.63
0.004,37.78,37.23
0.005,19.12,18.66
0.006,10.95,10.54
0.008,4.576,4.242
0.01,2.373,2.078
0.015,0.8071,0.5627
0.02,0.442,0.2238
0.03,0.2562,0.06614
0.04,0.2076,0.03343
0.05,0.1871,0.02397
0.06,0.1753,0.02098
0.08,0.161,0.02037
0.1,0.1514,0.02147
0.15,0.1347,0.02449
0.2,0.1229,0.02655
0.3,0.1066,0.0287
0.4,0.09546,0.0295
0.5,0.08715,0.02969
0.6,0.08058,0.02956
0.8,0.07076,0.02885
1.0,0.06361,0.02792
1.25,0.0569,0.02669
1.5,0.05179,0.02551
2.0,0.04442,0.02345
3.0,0.03562,0.02048
4.0,0.03047,0.01849
5.0,0.02708,0.0171
6.0,0.02469,0.01607
8.0,0.02154,0.01468
10.0,0.01959,0.0138
15.0,0.01698,0.01258
20.0,0.01575,0.01198
