"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2794.0,2788.0
0.0015,915.3,913.1
0.002,403.7,402.4
0.003,123.6,122.8
0.004,52.47,51.81
0.005,26.81,26.27
0.006,15.45,14.98
0.008,6.494,6.114
0.01,3.357,3.026
0.015,1.101,0.8324
0.02,0.5714,0.3328
0.03,0.3032,0.09645
0.04,0.235,0.04599
0.05,0.2074,0.03067
0.06,0.1924,0.0253
0.08,0.1751,0.02302
0.1,0.1641,0.02368
0.15,0.1456,0.02657
0.2,0.1328,0.02872
0.3,0.1152,0.03099
0.4,0.1031,0.03185
0.5,0.0941,0.03206
0.6,0.08701,0.03191
0.8,0.07641,0.03116
1.0,0.0687,0.03015
1.25,0.06143,0.02882
1.5,0.05591,0.02755
2.0,0.04796,0.02533
3.0,0.03844,0.0221
4.0,0.03286,0.01995
5.0,0.02919,0.01843
6.0,0.02659,0.01731
8.0,0.02317,0.01579
10.0,0.02105,0.01482
15.0,0.0182,0.01348
20.0,0.01684,0.01282
