"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,9085.0,9052.0
0.0015,3399.0,3388.0
0.002,1626.0,1620.0
0.003,557.6,553.5
0.004,256.7,253.6
0.005,139.8,137.2
0.006,84.84,82.65
0.007112,53.19,51.33
0.007112,407.6,297.8
0.008,305.6,231.6
0.01,170.6,136.9
0.015,57.08,48.96
0.02,25.68,22.6
0.03,8.176,7.251
0.04,3.629,3.155
0.05,1.958,1.638
0.06,1.205,0.9555
0.08,0.5952,0.4104
0.1,0.3717,0.2177
0.15,0.1964,0.07961
0.2,0.146,0.04825
0.3,0.1099,0.03361
0.4,0.094,0.03039
0.5,0.08414,0.02914
0.6,0.07704,0.02836
0.8,0.06699,0.02714
1.0,0.05995,0.02603
1.25,0.0535,0.02472
1.5,0.04883,0.0236
2.0,0.04265,0.02199
3.0,0.03621,0.02042
4.0,0.03312,0.0199
5.0,0.03146,0.01983
6.0,0.03057,0.01997
8.0,0.02991,0.0205
10.0,0.02994,0.02108
15.0,0.03092,0.02221
20.0,0.03224,0.02292
