"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,7405.0,7388.0
0.0015,2694.0,2687.0
0.002,1277.0,1272.0
0.003,433.9,430.5
0.004,198.8,196.1
0.005,108.0,105.7
0.0059892,65.74,63.83
0.0059892,597.7,402.7
0.006,516.0,402.7
0.008,251.3,208.7
0.01,138.6,119.3
0.015,45.71,40.93
0.02,20.38,18.46
0.03,6.434,5.78
0.04,2.856,2.482
0.05,1.55,1.278
0.06,0.9639,0.742
0.08,0.4905,0.3182
0.1,0.3166,0.1701
0.15,0.1788,0.06536
0.2,0.1378,0.04211
0.3,0.1067,0.0316
0.4,0.09213,0.02938
0.5,0.08281,0.02849
0.6,0.07598,0.02788
0.8,0.0662,0.0268
1.0,0.0593,0.02576
1.25,0.05295,0.0245
1.5,0.04832,0.0234
2.0,0.04213,0.02178
3.0,0.03559,0.02011
4.0,0.03235,0.01947
5.0,0.03057,0.01929
6.0,0.02956,0.01933
8.0,0.02869,0.0197
10.0,0.02855,0.02016
15.0,0.0292,0.02112
20.0,0.03026,0.02174
