"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,8093.0,8069.0
0.0015,2984.0,2975.0
0.002,1421.0,1415.0
0.003,485.1,481.5
0.004,222.9,220.1
0.005,121.2,118.8
0.006,73.5,71.5
0.006539,58.03,56.19
0.006539,452.0,341.5
0.008,273.4,217.7
0.01,151.4,126.2
0.015,50.27,44.14
0.02,22.53,20.15
0.03,7.141,6.382
0.04,3.169,2.757
0.05,1.714,1.425
0.06,1.06,0.8294
0.08,0.5306,0.3558
0.1,0.3367,0.1894
0.15,0.1838,0.07085
0.2,0.1391,0.04421
0.3,0.1062,0.03196
0.4,0.09133,0.02932
0.5,0.08192,0.02827
0.6,0.07509,0.0276
0.8,0.06537,0.02647
1.0,0.05852,0.02541
1.25,0.05224,0.02416
1.5,0.04769,0.02307
2.0,0.04162,0.02149
3.0,0.03524,0.01989
4.0,0.03213,0.01933
5.0,0.03045,0.0192
6.0,0.02952,0.0193
8.0,0.02875,0.01973
10.0,0.02871,0.02025
15.0,0.02951,0.02127
20.0,0.03068,0.02193
