"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,5869.0,5860.0
0.0015,2096.0,2091.0
0.002,986.0,982.4
0.003,332.3,329.5
0.004,151.7,149.4
0.0049664,83.8,81.88
0.0049664,687.8,568.4
0.005,683.8,565.7
0.006,432.3,369.1
0.008,202.3,179.3
0.01,110.7,100.1
0.015,35.87,33.11
0.02,15.85,14.65
0.03,4.972,4.488
0.04,2.214,1.904
0.05,1.213,0.9737
0.06,0.7661,0.5634
0.08,0.4052,0.2422
0.1,0.2721,0.1312
0.15,0.1649,0.05393
0.2,0.1314,0.03726
0.3,0.1043,0.03007
0.4,0.09081,0.02864
0.5,0.08191,0.02804
0.6,0.07529,0.02756
0.8,0.06572,0.02661
1.0,0.05891,0.02561
1.25,0.05263,0.02439
1.5,0.04801,0.0233
2.0,0.0418,0.02166
3.0,0.03512,0.01989
4.0,0.03173,0.01913
5.0,0.02982,0.01884
6.0,0.02868,0.01879
8.0,0.02759,0.01899
10.0,0.02727,0.01933
15.0,0.02762,0.02013
20.0,0.02844,0.02067
