"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,3606.0,3599.0
0.0015,1191.0,1188.0
0.002,527.9,526.2
0.003,162.5,161.4
0.0032029,134.0,133.0
18.0,0.0032029,148.5
0.004,77.88,76.36
0.005,40.27,39.31
0.006,23.41,22.7
0.008,9.921,9.446
0.01,5.12,4.742
0.015,1.614,1.334
0.02,0.7779,0.5389
0.03,0.3538,0.1537
0.04,0.2485,0.06833
0.05,0.208,0.04098
0.06,0.1875,0.03041
0.08,0.1662,0.02407
0.1,0.1541,0.02325
0.15,0.1356,0.02496
0.2,0.1233,0.02672
0.3,0.1067,0.02872
0.4,0.09549,0.02949
0.5,0.08712,0.02966
0.6,0.08055,0.02953
0.8,0.07074,0.02882
1.0,0.06358,0.02789
1.25,0.05687,0.02666
1.5,0.05175,0.02547
2.0,0.04447,0.02345
3.0,0.03581,0.02057
4.0,0.03079,0.0187
5.0,0.02751,0.0174
6.0,0.02522,0.01647
8.0,0.02225,0.01525
10.0,0.02045,0.0145
15.0,0.0181,0.01353
20.0,0.01705,0.01311
