"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,1185.0,1183.0
0.0015,402.2,400.1
0.0015596,362.1,360.0
0.0015596,3957.0,3829.0
0.002,2263.0,2204.0
0.003,788.0,773.2
0.004,360.5,354.5
0.005,193.4,190.2
0.006,115.3,113.3
0.008,50.33,49.18
0.01,26.23,25.43
0.015,7.955,7.487
0.02,3.441,3.094
0.03,1.128,0.8778
0.04,0.5685,0.3601
0.05,0.3681,0.184
0.06,0.2778,0.1099
0.08,0.2018,0.05511
0.1,0.1704,0.03794
0.15,0.1378,0.02827
0.2,0.1223,0.02745
0.3,0.1042,0.02816
0.4,0.09276,0.02862
0.5,0.08445,0.02868
0.6,0.07802,0.02851
0.8,0.06841,0.02778
1.0,0.06146,0.02686
1.25,0.05496,0.02565
1.5,0.05006,0.02451
2.0,0.04324,0.02266
3.0,0.03541,0.02024
4.0,0.03106,0.01882
5.0,0.02836,0.01795
6.0,0.02655,0.01739
8.0,0.02437,0.01678
10.0,0.02318,0.0165
15.0,0.02195,0.01631
20.0,0.02168,0.01633
