"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,9855.0,9797.0
0.00100404,9753.0,9697.0
0.0010081,9654.0,9598.0
0.0010081,10990.0,10930.0
0.0015,4234.0,4214.0
0.002,2049.0,2039.0
0.003,709.4,704.2
0.004,328.2,324.4
0.005,179.3,176.1
0.006,109.0,106.4
0.008,49.52,47.58
0.0083328,44.28,42.42
0.0083328,329.4,224.0
0.01,209.0,152.4
0.015,70.81,57.34
0.02,32.2,27.22
0.03,10.34,8.982
0.04,4.6,3.967
0.05,2.474,2.078
0.06,1.512,1.219
0.08,0.7306,0.5259
0.1,0.444,0.2781
0.15,0.2208,0.09812
0.2,0.1582,0.05649
0.3,0.1154,0.03659
0.4,0.09765,0.03209
0.5,0.08698,0.03036
0.6,0.07944,0.02937
0.8,0.06891,0.02795
1.0,0.0616,0.02674
1.25,0.05494,0.02536
1.5,0.05015,0.0242
2.0,0.04387,0.02257
3.0,0.03745,0.02107
4.0,0.03444,0.02066
5.0,0.03289,0.0207
6.0,0.0321,0.02094
8.0,0.03164,0.02163
10.0,0.03185,0.02234
15.0,0.0332,0.02368
20.0,0.03476,0.02446
